Feature,SHAP_mean
LTD_TA,0.1441319874162935
Total_LT_debt,0.13158710158464804
Retained_Earnings,0.11911391901091951
OpEx_Rev,0.09272050378980899
RE_TA,0.08341085519153345
Current_assets,0.07711713455857215
EBITDA,0.06898880551695219
Altman_Z_ma3,0.052822484398177445
Current_Ratio_lag1,0.05024730286199682
Inv_TA,0.045440909461748724
Net_sales,0.04328924728554463
EBITDA_Margin_lag1,0.04308907341956898
Altman_Z_lag1,0.038001533962345894
Profit_Margin_lag1,0.03728327458807954
Total_OpEx,0.03724767676449219
Equity_Ratio,0.03600783203321424
EBIT,0.03573872477973974
Total_Revenue,0.03557365467138428
ROA_lag1,0.034384023247421916
Gross_Profit,0.03409146298771317
EBITDA_Margin,0.03256793775900779
Inventory,0.031430435880545664
Altman_Z,0.03027707510916876
MktVal_Liab,0.026303847531823476
Current_Ratio_ma3,0.02479129075565271
Net_Income,0.024598478684255954
Current_Ratio,0.024269210153983048
Gross_Margin,0.023554513050835432
Total_assets,0.021857090387492888
Total_Current_Liabilities,0.02075026049553026
O_CLCA,0.020090638350820696
ROE,0.01963263048184403
EBIT_TA_lag1,0.019520616730830036
O_SIZE,0.017806771108979307
Asset_Turn,0.017134896599518803
Profit_Margin,0.016288491526704554
O_FUTL,0.01597677867823345
Debt_Ratio_chg,0.01576785793923203
O_CHIN,0.015390112997825504
ROA_neg_streak,0.014740294188702052
EBIT_TA,0.014209907426314913
Debt_Ratio_ma3,0.01369003415799185
Depreciation_amort,0.013672309755882024
O_NITA,0.012375320582168996
Debt_Ratio_lag1,0.01206209746966538
Market_value,0.011610389047576868
Net_Income_lag1,0.011575978270159477
Recv_TA,0.011274377730071868
ROA_ma3,0.010843072477341101
EBIT_TA_chg,0.010508253521035599
Cost_of_goods_sold,0.009245853484055752
ROA,0.008985974246068949
Ohlson_O,0.008785556808922556
ROA_chg,0.008642587546158905
Altman_Z_chg,0.0070350580318472794
WC_TA,0.0069444028550084145
Total_Receivables,0.006511587965864363
WC_TA_lag1,0.006511453786766099
EBITDA_Margin_chg,0.0059538709524083674
O_WCTA,0.00551241434057135
Profit_Margin_chg,0.005373435679107333
Debt_Ratio,0.004467679783128844
Total_Liabilities,0.0037755372679402844
Current_Ratio_chg,0.0034937133056594325
O_TLTA,0.003301576603854914
WC_TA_chg,0.002142753780219585
Ohlson_P,0.0018352464460359152
O_OENEG,0.0003090311910600404
O_INTWO,0.0
ROA_neg,0.0
